ksi,x,z
0.000000,0.000000,-16.62274
2.902804,2.124647,-17.27547
2.925026,4.286157,-17.79178
2.947249,6.478509,-18.15320
2.969471,8.691819,-18.34668
2.991693,10.91341,-18.36132
3.013916,13.12907,-18.20077
3.036138,15.32607,-17.86733
3.058360,17.49365,-17.37771
3.080582,19.62508,-16.74781
3.102805,21.71752,-15.99776
3.125027,23.77142,-15.14707
3.147249,25.78934,-14.21467
3.169472,27.77676,-13.21749
3.191694,29.73831,-12.17161
3.213916,31.68177,-11.09071
3.236138,33.61305,-9.988633
3.258361,35.53899,-8.877600
3.280583,37.46827,-7.769512
3.302805,39.40430,-6.678308
3.325027,41.35715,-5.615329
3.347250,43.33247,-4.594841
3.369472,45.33653,-3.631785
3.391694,47.37420,-2.742903
3.413917,49.44937,-1.946124
3.436139,51.56305,-1.261219
3.458361,53.71531,-0.7069432
3.480583,55.89963,-0.3035284
3.502806,58.11143,-0.6455614E-1
3.525028,60.32873,0.1191492E-2
3.547250,62.54602,-0.5357178E-3
3.569473,64.76331,0.2700232E-3
3.591695,66.98061,-0.1255229E-3
3.613917,69.19790,0.5237093E-4
3.636139,71.41519,-0.1949943E-4
3.658362,73.63248,0.6311191E-5
3.680584,75.84978,-0.1619657E-5
3.702806,78.06707,0.1992230E-6
3.725029,80.28436,0.1151203E-6
3.747251,82.50166,-0.1214078E-6
3.769473,84.71895,0.7419547E-7
3.791695,86.93624,-0.3689024E-7
3.813918,89.15353,0.1605212E-7
3.836140,91.37083,-0.6222313E-8
3.858362,93.58812,0.2121861E-8
3.880584,95.80541,-0.5996678E-9
