     ksi           x              z  
   0.00000000       0.00000000     -0.161818057    
   2.83038759       2.19832611     -0.486135900    
   2.85260987       4.36782503     -0.967051089    
   2.87483215       6.50151539      -1.58944321    
   2.89705443       8.59630299      -2.33307576    
   2.91927671       10.6523714      -3.17840433    
   2.94149899       12.6724529      -4.10658884    
   2.96372128       14.6612492      -5.10033703    
   2.98594356       16.6245060      -6.14394665    
   3.00816584       18.5684795      -7.22293186    
   3.03038812       20.5000534      -8.32410336    
   3.05261040       22.4258156      -9.43463230    
   3.07483268       24.3535633      -10.5426903    
   3.09705496       26.2890396      -11.6352367    
   3.11927724       28.2407131      -12.7002602    
   3.14149952       30.2147388      -13.7237949    
   3.16372180       32.2166862      -14.6905584    
   3.18594408       34.2522316      -15.5843363    
   3.20816636       36.3252869      -16.3870907    
   3.23038864       38.4372597      -17.0795517    
   3.25261092       40.5873299      -17.6416836    
   3.27483320       42.7709122      -18.0552635    
   3.29705548       44.9790688      -18.3036003    
   3.31927776       47.1984100      -18.3767376    
   3.34150004       49.4166832      -18.2721920    
   3.36372232       51.6216049      -17.9925404    
   3.38594460       53.7996483      -17.5517483    
   3.40816689       55.9430618      -16.9646492    
   3.43038917       58.0480995      -16.2511444    
   3.45261145       60.1142426      -15.4306870    
   3.47483373       62.1435471      -14.5226221    
   3.49705601       64.1402130      -13.5444403    
   3.51927829       66.1097412      -12.5124588    
   3.54150057       68.0581131      -11.4414530    
   3.56372285       69.9893036      -10.3466654    
   3.58594513       71.9204941      -9.23460674    
   3.60816741       73.8516846      -8.12226868    
   3.63038969       75.7828751      -7.02519941    
   3.65261197       77.7292862      -5.95202589    
   3.67483425       79.6968307      -4.91623449    
   3.69705653       81.6913757      -3.93292856    
   3.71927881       83.7178955      -3.01835060    
   3.74150109       85.7803726      -2.19019222    
   3.76372337       87.8821869      -1.46715593    
   3.78594565       90.0226440     -0.868769467    
   3.80816793       92.1977463     -0.415643901    
