    x            M+0.5MN            roK  
   1.96909451       2.00000000      0.998914897    
   3.26873493       3.33333349      0.996847570    
   4.55636072       4.66666698      0.993266046    
   5.83008003       6.00000000      0.989619970    
   7.08969927       7.33333397      0.983621955    
   8.33598423       8.66666698      0.975760698    
   9.56811047       10.0000000      0.971713901    
   10.7870874       11.3333340      0.962117612    
   11.9944363       12.6666670      0.952570379    
   13.1901865       14.0000000      0.949635506    
   14.3760567       15.3333340      0.937291443    
   15.5541372       16.6666679      0.928011358    
   16.7248688       18.0000000      0.926252663    
   17.8896580       19.3333340      0.912118256    
   19.0502644       20.6666679      0.903869152    
   20.2084026       22.0000000      0.903051436    
   21.3661213       23.3333340      0.887112141    
   22.5243015       24.6666679      0.881019771    
   23.6833763       26.0000000      0.880909681    
   24.8461399       27.3333340      0.862529993    
   26.0150375       28.6666660      0.860169113    
   27.1901875       30.0000000      0.859605014    
   28.3732624       31.3333359      0.838256001    
   29.5659657       32.6666679      0.844018042    
   30.7678566       34.0000038      0.840191245    
   31.9820957       35.3333321      0.815368533    
   33.2107239       36.6666718      0.836011410    
   34.4515953       38.0000000      0.824134529    
   35.7069893       39.3333359      0.798578322    
   36.9770622       40.6666641      0.837599754    
   38.2595558       42.0000038      0.817456841    
   39.5555801       43.3333321      0.792313933    
   40.8630943       44.6666679      0.843035877    
   42.1796684       46.0000000      0.822247088    
   43.5055237       47.3333359      0.795487523    
   44.8358994       48.6666641      0.849070191    
   46.1662750       50.0000038      0.838091493    
   47.4966507       51.3333321      0.809091449    
   48.8263550       52.6666679      0.857593298    
   50.1503906       54.0000000      0.865684628    
   51.4649925       55.3333359      0.831636906    
   52.7696533       56.6666641      0.876837254    
   54.0623703       58.0000000      0.918940663    
   55.3414764       59.3333321      0.865470827    
