x,M+0.5MN,roK
3.205402,3.333333,0.9955180
5.382333,5.555556,0.9902446
7.585164,7.777778,0.9863594
9.802612,10.00000,0.9853792
12.02124,12.22222,0.9880660
14.22757,14.44444,0.9948001
16.40986,16.66667,1.005187
18.55937,18.88889,1.018656
20.67130,21.11111,1.034416
22.74447,23.33333,1.051619
24.78038,25.55556,1.069687
26.78305,27.77778,1.088010
28.75753,30.00000,1.106404
30.71004,32.22222,1.124415
32.64741,34.44445,1.142264
34.57602,36.66667,1.158859
36.50363,38.88889,1.175535
38.43629,41.11111,1.190993
40.38073,43.33333,1.205823
42.34481,45.55556,1.219567
44.33450,47.77778,1.232004
46.35537,50.00000,1.242455
48.41179,52.22223,1.250337
50.50621,54.44444,1.254446
52.63919,56.66667,1.253761
54.80747,58.88889,1.245862
57.00554,61.11111,1.228029
59.22008,63.33333,1.189429
61.43737,65.55556,1.140396
63.65467,67.77778,1.105765
65.87196,70.00001,1.084781
68.08926,72.22222,1.069066
70.30655,74.44445,1.056530
72.52384,76.66666,1.046084
74.74113,78.88889,1.037202
76.95843,81.11111,1.029511
79.17572,83.33334,1.022771
81.39301,85.55556,1.016790
83.61031,87.77778,1.011441
85.82760,90.00000,1.006629
88.04489,92.22223,1.002248
90.26218,94.44444,0.9982579
92.47948,96.66667,0.9945941
94.69677,98.88889,0.9912038
