ksi,x,z
0.000000,-95.62608,-0.2644879E-13
0.2222222E-1,-94.51744,-0.2533214E-12
0.4444445E-1,-93.40879,-0.1432522E-11
0.6666667E-1,-92.30015,-0.4556218E-11
0.8888889E-1,-91.19150,-0.6916497E-11
0.1111111,-90.08286,-0.8600205E-12
0.1333333,-88.97421,0.8331504E-11
0.1555556,-87.86556,-0.2501981E-11
0.1777778,-86.75691,-0.1731671E-10
0.2000000,-85.64827,0.1504502E-10
0.2222222,-84.53962,0.3388537E-10
0.2444444,-83.43098,-0.5472671E-10
0.2666667,-82.32233,-0.5382286E-10
0.2888889,-81.21368,0.1628558E-9
0.3111111,-80.10503,0.4528022E-10
0.3333333,-78.99639,-0.4237720E-9
0.3555556,-77.88774,0.1146757E-9
0.3777778,-76.77910,0.9789660E-9
0.4000000,-75.67045,-0.8031196E-9
0.4222222,-74.56181,-0.1974851E-8
0.4444444,-73.45316,0.3023455E-8
0.4666667,-72.34451,0.3236017E-8
0.4888889,-71.23586,-0.9145092E-8
0.5111111,-70.12722,-0.3069513E-8
0.5333334,-69.01857,0.2408133E-7
0.5555556,-67.90993,-0.5297942E-8
0.5777778,-66.80128,-0.5628225E-7
0.6000000,-65.69263,0.4299342E-7
0.6222222,-64.58398,0.1152300E-6
0.6444445,-63.47534,-0.1669237E-6
0.6666667,-62.36670,-0.1938747E-6
0.6888889,-61.25805,0.5130054E-6
0.7111111,-60.14940,0.2024913E-6
0.7333333,-59.04076,-0.1367029E-5
0.7555556,-57.93211,0.2314276E-6
0.7777778,-56.82346,0.3232030E-5
0.8000000,-55.71482,-0.2290344E-5
0.8222222,-54.60617,-0.6713439E-5
0.8444445,-53.49752,0.9201385E-5
0.8666667,-52.38888,0.1158643E-4
0.8888889,-51.28023,-0.2877424E-4
0.9111111,-50.17159,-0.1318039E-4
0.9333333,-49.06042,0.7779117E-4
0.9555556,-47.94879,-0.9956402E-5
0.9777778,-46.83716,-0.1864525E-3
1.000000,-45.72554,0.1269065E-3
1.022222,-44.61391,0.3954847E-3
1.044445,-43.50228,-0.5460672E-3
1.066667,-42.39066,-0.7462110E-3
1.088889,-41.27903,0.2143266E-2
1.111111,-40.16740,0.1376255E-2
1.133334,-39.05799,-0.1903155E-1
1.155556,-37.94934,-0.7604122E-1
1.177778,-36.84227,-0.1794263
1.200001,-35.74131,-0.3272175
1.222223,-34.64619,-0.5152960
1.244445,-33.55825,-0.7422732
1.266667,-32.47883,-1.007004
1.288890,-31.40864,-1.306656
1.311112,-30.34803,-1.638602
1.333334,-29.29716,-2.000544
1.355556,-28.25605,-2.390135
1.377779,-27.22458,-2.804752
1.400001,-26.20254,-3.242015
1.422223,-25.18952,-3.699617
1.444446,-24.18476,-4.175473
