     ksi           x              z  
   0.00000000      -99.3441086       0.00000000    
   2.22222228E-02  -98.2354660       0.00000000    
   4.44444455E-02  -97.1268158       0.00000000    
   6.66666701E-02  -96.0181732       0.00000000    
   8.88888910E-02  -94.9095230       0.00000000    
  0.111111112      -93.8008804       0.00000000    
  0.133333340      -92.6922302       0.00000000    
  0.155555561      -91.5835876       0.00000000    
  0.177777782      -90.4749374       0.00000000    
  0.200000003      -89.3662949       0.00000000    
  0.222222224      -88.2576447       0.00000000    
  0.244444445      -87.1490021       0.00000000    
  0.266666681      -86.0403519       0.00000000    
  0.288888901      -84.9317093       0.00000000    
  0.311111122      -83.8230591       0.00000000    
  0.333333343      -82.7144165       0.00000000    
  0.355555564      -81.6057663       0.00000000    
  0.377777785      -80.4971237       0.00000000    
  0.400000006      -79.3884735       0.00000000    
  0.422222227      -78.2798309       0.00000000    
  0.444444448      -77.1711807       0.00000000    
  0.466666669      -76.0625381       0.00000000    
  0.488888890      -74.9538879       0.00000000    
  0.511111140      -73.8452454       0.00000000    
  0.533333361      -72.7365952       0.00000000    
  0.555555582      -71.6279526      -4.83447970E-42
  0.577777803      -70.5193024      -1.63015152E-38
  0.600000024      -69.4106598      -3.31917619E-35
  0.622222245      -68.3020096      -4.10817820E-32
  0.644444466      -67.1933670      -3.09086388E-29
  0.666666687      -66.0847168      -1.41358759E-26
  0.688888907      -64.9760742      -3.92978160E-24
  0.711111128      -63.8674240      -6.64048822E-22
  0.733333349      -62.7587814      -6.81986957E-20
  0.755555570      -61.6501312      -4.25594682E-18
  0.777777791      -60.5414886      -1.61290187E-16
  0.800000012      -59.4328384      -3.70676060E-15
  0.822222233      -58.3241959      -5.14784850E-14
  0.844444454      -57.2155457      -4.28211313E-13
  0.866666675      -56.1069031      -2.08497152E-12
  0.888888896      -54.9982529      -5.56489750E-12
  0.911111116      -53.8896103      -6.34262217E-12
  0.933333337      -52.7809601       2.23423905E-12
  0.955555558      -51.6723175       8.01803849E-12
  0.977777779      -50.5636673      -8.59659566E-12
   1.00000000      -49.4535561      -1.37815367E-11
   1.02222228      -48.3419304       2.79598358E-11
   1.04444456      -47.2303047       1.82418889E-11
   1.06666684      -46.1186752      -7.84472071E-11
   1.08888912      -45.0070496      -1.83327355E-12
   1.11111140      -43.8954239       1.93860747E-10
   1.13333368      -42.7837982      -1.01709925E-10
   1.15555596      -41.6721687      -4.21173152E-10
   1.17777824      -40.5605431       4.81012952E-10
   1.20000052      -39.4489174       7.72630071E-10
   1.22222281      -38.3372917      -1.60684144E-09
   1.24444509      -37.2256622      -1.02045927E-09
   1.26666737      -36.1140366       4.51256721E-09
   1.28888965      -35.0024109       3.79638959E-11
   1.31111193      -33.8907852      -1.11233325E-08
   1.33333421      -32.7791557       6.00178929E-09
   1.35555649      -31.6675301       2.40786093E-08
   1.37777877      -30.5559044      -2.79607644E-08
   1.40000105      -29.4442768      -4.39203660E-08
   1.42222333      -28.3326511       9.28602972E-08
   1.44444561      -27.2210236       5.71755265E-08
   1.46666789      -26.1093979      -2.59799037E-07
   1.48889017      -24.9977703       1.68928882E-09
   1.51111245      -23.8861446       6.38273264E-07
   1.53333473      -22.7745171      -3.53908121E-07
   1.55555701      -21.6628914      -1.37645748E-06
   1.57777929      -20.5512638       1.62502033E-06
   1.60000157      -19.4396381       2.49624691E-06
   1.62222385      -18.3280106      -5.36645166E-06
   1.64444613      -17.2163849      -3.20188565E-06
   1.66666842      -16.1047573       1.49643656E-05
   1.68889070      -14.9931316      -3.12965199E-07
   1.71111298      -13.8815041      -3.66874519E-05
   1.73333526      -12.7698784       2.08078236E-05
   1.75555754      -11.6588144       7.90058621E-05
   1.77777982      -10.5479326      -9.41723920E-05
   1.80000210      -9.43705177      -1.43762911E-04
   1.82222438      -8.32616997       3.11940094E-04
   1.84444666      -7.21528816       1.88944556E-04
   1.86666894      -6.10440636      -9.13463649E-04
   1.88889122      -4.99352455       1.60995096E-05
   1.91111350      -3.88264322       3.00219352E-03
   1.93333578      -2.77176142      -2.70953192E-03
   1.95555806      -1.66138947      -3.44649591E-02
   1.97778034     -0.552942634     -0.107585393    
   2.00000262      0.551785588     -0.227411464    
   2.02222490       1.65110934     -0.389977366    
   2.04444718       2.74373007     -0.592015564    
   2.06666946       3.82859421     -0.832681477    
   2.08889174       4.90479565      -1.11026073    
   2.11111403       5.97168827      -1.42175245    
   2.13333631       7.02891445      -1.76471114    
   2.15555859       8.07630444      -2.13684034    
   2.17778087       9.11386871      -2.53563976    
   2.20000315       10.1418648      -2.95859599    
   2.22222543       11.1606236      -3.40338039    
   2.24444771       12.1706123      -3.86776280    
   2.26666999       13.1724463      -4.34955263    
   2.28889227       14.1667604      -4.84668016    
   2.31111455       15.1542511      -5.35716295    
   2.33333683       16.1356697      -5.87914038    
   2.35555911       17.1119537      -6.41086245    
   2.37778139       18.0837555      -6.95051336    
   2.40000367       19.0522461      -7.49663782    
   2.42222595       20.0179100      -8.04741287    
   2.44444823       20.9818935      -8.60141182    
   2.46667051       21.9445095      -9.15677357    
   2.48889279       22.9071236      -9.71226215    
   2.51111507       23.8708439      -10.2664537    
   2.53333735       24.8363609      -10.8177299    
   2.55555964       25.8036995      -11.3640499    
   2.57778192       26.7756157      -11.9048204    
   2.60000420       27.7509632      -12.4373331    
   2.62222648       28.7322197      -12.9607897    
   2.64444876       29.7186069      -13.4725285    
   2.66667104       30.7120171      -13.9712286    
   2.68889332       31.7130413      -14.4549484    
   2.71111560       32.7220917      -14.9214773    
   2.73333788       33.7398071      -15.3686409    
   2.75556016       34.7666969      -15.7942619    
   2.77778244       35.8030930      -16.1958523    
   2.80000472       36.8493843      -16.5712948    
   2.82222700       37.9055099      -16.9177742    
   2.84444928       38.9712830      -17.2330894    
   2.86667156       40.0464172      -17.5141850    
   2.88889384       41.1303177      -17.7597771    
   2.91111612       42.2219810      -17.9666424    
   2.93333840       43.3207626      -18.1329460    
   2.95556068       44.4247627      -18.2570076    
   2.97778296       45.5333900      -18.3387356    
   3.00000525       46.6425934      -18.3755207    
   3.02222753       47.7536964      -18.3662987    
   3.04444981       48.8623428      -18.3144932    
   3.06667209       49.9699097      -18.2183228    
   3.08889437       51.0732117      -18.0783348    
   3.11111665       52.1679573      -17.8968391    
   3.13333893       53.2578659      -17.6765461    
   3.15556121       54.3384438      -17.4179592    
   3.17778349       55.4105415      -17.1241817    
   3.20000577       56.4723091      -16.7975922    
   3.22222805       57.5255585      -16.4403610    
   3.24445033       58.5673103      -16.0556755    
   3.26667261       59.6016655      -15.6446161    
   3.28889489       60.6238174      -15.2116690    
   3.31111717       61.6398468      -14.7567348    
   3.33333945       62.6443253      -14.2845554    
   3.35556173       63.6437187      -13.7946386    
   3.37778401       64.6346283      -13.2910776    
   3.40000629       65.6181030      -12.7754736    
   3.42222857       66.5984573      -12.2478666    
   3.44445086       67.5723343      -11.7122793    
   3.46667314       68.5408859      -11.1702156    
   3.48889542       69.5064774      -10.6225758    
   3.51111770       70.4720764      -10.0696907    
   3.53333998       71.4376678      -9.51336765    
   3.55556226       72.4032669      -8.95591450    
   3.57778454       73.3688583      -8.39955902    
   3.60000682       74.3344574      -7.84591341    
   3.62222910       75.3000488      -7.29707575    
   3.64445138       76.2676239      -6.75429726    
   3.66667366       77.2405090      -6.21763182    
   3.68889594       78.2198868      -5.68848133    
   3.71111822       79.2033615      -5.17046642    
   3.73334050       80.1922913      -4.66511059    
   3.75556278       81.1906967      -4.17260647    
   3.77778506       82.1941986      -3.69745708    
   3.80000734       83.2082672      -3.23948979    
   3.82222962       84.2294006      -2.80274963    
   3.84445190       85.2618332      -2.38789368    
   3.86667418       86.3016357      -1.99893284    
   3.88889647       87.3539047      -1.63665807    
   3.91111875       88.4136810      -1.30517805    
   3.93334103       89.4848022      -1.00545013    
   3.95556331       90.5634308     -0.741032004    
   3.97778559       91.6523743     -0.514127851    
   4.00000763       92.7461090     -0.326645970    
   4.02222967       93.8476181     -0.178706735    
   4.04445171       94.9562302      -7.51593411E-02
   4.06667376       96.0648804      -1.92113519E-02
   4.08889580       97.1735229       3.01089167E-04
   4.11111784       98.2821732       1.79672055E-03
   4.13333988       99.3908157      -3.77879158E-04
   4.15556192       100.499466      -4.73871827E-04
   4.17778397       101.608109       2.33600236E-04
   4.20000601       102.716759       1.34005735E-04
   4.22222805       103.825401      -1.21531535E-04
   4.24445009       104.934052      -2.81518733E-05
   4.26667213       106.042694       5.52860074E-05
   4.28889418       107.151344      -3.71428257E-07
   4.31111622       108.259987      -2.24025698E-05
   4.33333826       109.368637       4.93809603E-06
   4.35556030       110.477280       8.05911986E-06
   4.37778234       111.585930      -3.73134731E-06
   4.40000439       112.694572      -2.48170295E-06
   4.42222643       113.803223       2.04854518E-06
   4.44444847       114.911865       5.71995713E-07
   4.46667051       116.020515      -9.55754103E-07
   4.48889256       117.129158      -2.84945703E-08
   4.51111460       118.237808       3.94970556E-07
   4.53333664       119.346451      -7.28099536E-08
   4.55555868       120.455101      -1.45148249E-07
   4.57778072       121.563744       6.06430746E-08
   4.60000277       122.672394       4.60994229E-08
   4.62222481       123.781036      -3.45260425E-08
   4.64444685       124.889687      -1.13790515E-08
   4.66666889       125.998329       1.64798308E-08
   4.68889093       127.106979       1.10828113E-09
   4.71111298       128.215622      -6.94224456E-09
   4.73333502       129.324265       1.03259568E-09
   4.75555706       130.432922       2.60403832E-09
   4.77777910       131.541565      -9.76627335E-10
   4.80000114       132.650208      -8.50847337E-10
   4.82222319       133.758850       5.79199910E-10
   4.84444523       134.867508       2.22424815E-10
   4.86666727       135.976151      -2.83200491E-10
   4.88888931       137.084793      -2.99822944E-11
   4.91111135       138.193436       1.21637936E-10
   4.93333340       139.302094      -1.37942999E-11
   4.95555544       140.410736      -4.65452329E-11
   4.97777748       141.519379       1.55593073E-11
