x,z
-6.733452,-14.02538
-7.844563,-14.02538
-8.955674,-14.02538
-10.06679,-14.02538
-11.17790,-14.02538
-12.28901,-14.02538
-13.40012,-14.02538
-14.51123,-14.02538
-15.62234,-14.02538
-16.73345,-14.02538
-17.84456,-14.02538
-18.95568,-14.02538
-20.06679,-14.02538
-21.17790,-14.02538
-22.28901,-14.02538
-23.40012,-14.02538
-24.51123,-14.02538
-25.62234,-14.02538
-26.73345,-14.02538
-27.84456,-14.02538
-28.95567,-14.02538
-30.06679,-14.02538
-31.17790,-14.02538
-32.28901,-14.02538
-33.40012,-14.02538
-34.51123,-14.02538
-35.62234,-14.02538
-36.73345,-14.02538
-37.84456,-14.02538
-38.95567,-14.02538
-40.06678,-14.02538
-41.17789,-14.02538
-42.28901,-14.02538
-43.40012,-14.02538
-44.51123,-14.02538
-45.62234,-14.02538
-46.73346,-14.02538
-47.84457,-14.02538
-48.95568,-14.02538
-50.06679,-14.02538
-51.17790,-14.02538
-52.28901,-14.02538
-53.40012,-14.02538
-54.51123,-14.02538
-55.62234,-14.02538
-56.73345,-14.02538
-57.84456,-14.02538
-58.95568,-14.02538
-60.06679,-14.02538
-61.17790,-14.02538
-62.28901,-14.02538
-63.40012,-14.02538
-64.51123,-14.02538
-65.62234,-14.02538
-66.73346,-14.02538
-67.84457,-14.02538
-68.95568,-14.02538
-70.06679,-14.02538
-71.17790,-14.02538
-72.28901,-14.02538
-73.40012,-14.02538
-74.51123,-14.02538
-75.62234,-14.02538
-76.73345,-14.02538
-77.84457,-14.02538
-78.95567,-14.02538
-80.06679,-14.02538
-81.17789,-14.02538
-82.28901,-14.02538
-83.40012,-14.02538
-84.51123,-14.02538
-85.62234,-14.02538
-86.73345,-14.02538
-87.84456,-14.02538
-88.95567,-14.02538
-90.06679,-14.02538
-91.17790,-14.02538
-92.28901,-14.02538
-93.40012,-14.02538
-94.51123,-14.02538
-95.62234,-14.02538
-96.73346,-14.02538
-97.84457,-14.02538
-98.95568,-14.02538
-100.0668,-14.02538
-101.1779,-14.02538
-102.2890,-14.02538
-103.4001,-14.02538
-104.5112,-14.02538
-105.6224,-14.02538
