   x              z  
   32.9866104      -14.0252657    
   31.3199444      -14.0252657    
   29.6532784      -14.0252657    
   27.9866123      -14.0252657    
   26.3199444      -14.0252657    
   24.6532784      -14.0252657    
   22.9866123      -14.0252657    
   21.3199444      -14.0252657    
   19.6532784      -14.0252657    
   17.9866104      -14.0252657    
   16.3199444      -14.0252657    
   14.6532764      -14.0252657    
   12.9866104      -14.0252657    
   11.3199434      -14.0252657    
   9.65327740      -14.0252657    
   7.98661041      -14.0252657    
   6.31994390      -14.0252657    
   4.65327740      -14.0252657    
   2.98661065      -14.0252657    
   1.31994414      -14.0252657    
 -0.346722454      -14.0252657    
  -2.01338911      -14.0252657    
  -3.68005562      -14.0252657    
  -5.34672213      -14.0252657    
  -7.01338863      -14.0252657    
  -8.68005562      -14.0252657    
  -10.3467216      -14.0252657    
  -12.0133886      -14.0252657    
  -13.6800547      -14.0252657    
  -15.3467216      -14.0252657    
  -17.0133877      -14.0252657    
  -18.6800556      -14.0252657    
  -20.3467255      -14.0252657    
  -22.0133915      -14.0252657    
  -23.6800594      -14.0252657    
  -25.3467255      -14.0252657    
  -27.0133915      -14.0252657    
  -28.6800594      -14.0252657    
  -30.3467255      -14.0252657    
  -32.0133934      -14.0252657    
  -33.6800575      -14.0252657    
  -35.3467255      -14.0252657    
  -37.0133896      -14.0252657    
  -38.6800575      -14.0252657    
  -40.3467255      -14.0252657    
  -42.0133896      -14.0252657    
  -43.6800499      -14.0252657    
  -45.3467216      -14.0252657    
  -47.0133934      -14.0252657    
  -48.6800537      -14.0252657    
  -50.3467255      -14.0252657    
  -52.0133896      -14.0252657    
  -53.6800575      -14.0252657    
  -55.3467216      -14.0252657    
  -57.0133934      -14.0252657    
  -58.6800537      -14.0252657    
  -60.3467255      -14.0252657    
  -62.0133896      -14.0252657    
  -63.6800575      -14.0252657    
  -65.3467178      -14.0252657    
  -67.0133896      -14.0252657    
  -68.6800537      -14.0252657    
  -70.3467255      -14.0252657    
  -72.0133896      -14.0252657    
  -73.6800613      -14.0252657    
  -75.3467178      -14.0252657    
  -77.0133896      -14.0252657    
  -78.6800537      -14.0252657    
  -80.3467255      -14.0252657    
  -82.0133896      -14.0252657    
  -83.6800537      -14.0252657    
  -85.3467178      -14.0252657    
  -87.0133896      -14.0252657    
  -88.6800537      -14.0252657    
  -90.3467255      -14.0252657    
  -92.0133896      -14.0252657    
  -93.6800537      -14.0252657    
  -95.3467178      -14.0252657    
  -97.0133896      -14.0252657    
  -98.6800537      -14.0252657    
  -100.346725      -14.0252657    
  -102.013397      -14.0252657    
  -103.680054      -14.0252657    
  -105.346725      -14.0252657    
  -107.013390      -14.0252657    
  -108.680061      -14.0252657    
  -110.346725      -14.0252657    
  -112.013397      -14.0252657    
  -113.680054      -14.0252657    
  -115.346725      -14.0252657    
